lyrics,singer,song
"prelude/
Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start.
hey tell me I'm too young to understand
They say I'm caught up in a dream
My life will pass me by if I don't
open up my eyes
Well its fine by me.
so wake me up when its all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost.
so wake me up when its all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost.
interlude/
I tried carrying the weight of the world
But I only have two hands
I hope I get the chance
to travel the world
I don't have any plans.
Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize
so wake me up when its all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost.
so wake me up when its all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost...
instrumental/",Avicii,Wake Me Up
"You were the shadow to my light
Did you feel us
Another start
You fade away

Afraid our aim is out of sight
Wanna see us
alive

Where are you now
Where are you now

Where are you now
Was it all in my fantasy
Where are you now
Were you only imaginary

Where are you now
Atlantis
Under the sea
Under the sea

Where are you now
Another dream
The monster’s running wild inside of me
I’m faded

I’m faded
So lost, I’m faded
I’m faded
So lost, I’m faded

These shallow waters, never met
What I needed
I’m letting go
A deeper dive

Eternal silence of the sea
I’m breathing
Alive

Where are you now
Where are you now
Under the bright, but faded lights
You set my heart on fire

Where are you now
Where are you now

Where are you now
Atlantis
Under the sea
Under the sea

Where are you now
Another dream
The monster’s running wild inside of me
I’m faded

I’m faded
So lost, I’m faded
I’m faded
So lost, I’m faded",Alan Walker,Faded
"Oh-woah
Woah-oh-oh
Woah
Like a moth to a flame
I'll pull you in, I pulled you back to
What you need initially
It's just one call away
And you'll leave him, you're loyal to me
But this time, I let you be
'Cause he seems like he's good for you
And he makes you feel like you should
And all your friends say he's the one
His love for you is true
But does he know 
you call me when he sleeps?
But does he know the pictures 
that you keep?
But does he know the reasons that you cry?
Or tell me, 
does he know where your heart lies?
Where it truly lies
Yeah
You should be with him, 
I let you go from time
You should stay with him
'Cause he seems like he's good for you
And he makes you feel like you should
And all your friends say he's the one
His love for you is true (Hey)
But does he know 
you call me when he sleeps? (No, no)
But does he know the pictures 
that you keep? (Oh)
But does he know the reasons that you cry?
Or tell me, 
does he know where your heart lies?
Where it truly lies
Right here with me, babe
Where it truly lies
My bed
Where it truly lies
In my heart
Where it truly lies
Where it truly lies
Where it truly lies
(Hey)
Where it truly lies","Swedish House Mafia, The Weeknd",Moth To A Flame
"Hey, I was doing just fine before I met you
I drink too much and that's an issue but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke down car and
Four years, no calls
Now you're looking pretty in a hotel bar and
I can't stop
No, I can't stop

So baby pull me closer in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

You, look as good as the day I met you
I forget just why I left you, I was insane
Stay, and play that Blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
moved to the city in a broke down car and
Four years, no calls
Now you're looking pretty in a hotel bar and
I can't stop
No, I can't stop

So baby pull me closer in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

So baby pull me closer in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older (we ain't ever getting older)
We ain't ever getting older (we ain't ever getting older)
We ain't ever getting older (we ain't ever getting older)
We ain't ever getting older

We ain't ever getting older
No we ain't ever getting older","Alesso, Katy Perry",When I'm Gone
"I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list

But she said 
where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss

I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo
Oh I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo

Oh I want something just like this
I want something just like this

I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits

She said where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss

I want something just like this
I want something just like this

Oh I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo
Oh I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo

Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

Oh I want something just like this
Oh I want something just like this
Oh I want something just like this
Oh I want something just like this","Swedish House Mafia, The Weeknd",Moth To A Flame (Extended Mix)
"Baby this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh oh oh
Baby this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh 
you oh oh oh
We go fast 'til they can't replay
Who knows why it's gotta be this way
We say nothing more than we need
I say your place when we leave
Baby this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh oh oh
you oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh oh oh
Baby this is what you came for
Lightning strikes every time she moves
Yeah
Baby this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh oh oh
you oh oh
You oh oh you oh oh
You oh oh you oh oh
You oh oh oh oh",The Chainsmokers,Closer (Feat. Halsey)
"No eyes on me

Oh, you used to look at me back then
Tryna control every step that I was takin'
But I know what I won’t be missin'
And it won't be you listenin’
Baby, I'm over you

Used to think you're all I need
Now you're gone, I'm feelin' free
I don't need your eyes on me
Eyes on me
Eyes on me

Pour it up, the drinks on me
I don't want no sympathy
I don’t need no eyes on me
Eyes on me
No eyes on me

No eyes on me
I don’t want, I don't want, don’t want, no

Oh yeah, gettin' over you
Baby, gettin' under someone else
That I don't know tonight
Oh, hell yeah
I’ma do my thing anywhere
Makin' sure that I'll get there
Without you by my side, oh

Used to think you're all I need
Now you're gone, I'm feelin' free
I don't need your eyes on me
Eyes on me
Eyes on me

Pour it up, the drinks on me
I don't want no sympathy
I don't need no eyes on me
Eyes on me
No eyes on me

No eyes on me
No eyes on me
I don't want, I don't want, don't want, no
No eyes on me
I don't want no eyes on me, no eyes on me
No eyes on me

Ooh, no eyes on me
Oh yeah
Pour it up, the drinks on me
I don't want no sympathy
I don't need your eyes on me
Eyes on me
No eyes on me
No eyes on me
I don't need no, I don't need
(So pour it up)

No eyes on me
(So pour it up)
No eyes on me
I don't need no, I don't need
(So pour it up)
No eyes on me
I don't want, I don't want, don't want, no
No eyes on me
I don't want no eyes on me, no eyes on me
No eyes on me
(Pour it up)
No eyes on me","The Chainsmokers, Coldplay",Something Just Like This
"Take a seat
Right over there
Sat on the stairs

Stay or leave
The cabinets are bare
And I'm unaware

Of just how we got,
into this mess
Got so aggressive

I know we meant
All good intentions

So pull me closer
Why don't you pull me close
Why don't you come on over
I can't just let you go

Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
In the middle

Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
In the middle

Take a step
Back for a minute
Into the kitchen

Floors are wet
Taps are still running
Dishes are broken

How did we get,
into this mess
Got so aggressive

I know we meant
All good intentions

So pull me closer
Why don't you pull me close
Why don't you come on over
Cos I can't just let you go

Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
In the middle

Looking at you I can't lie
Just pouring out admission
Regardless my objection

And it's not about my pride
I need you on my skin just
Come over, pull me in just...

Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
In the middle

Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
In the middle",Calvin Harris,This Is What You Came For (Feat. Rihanna)
"[Verse 1: Simon Aldred]
Where there's a will, there's a way, kinda beautiful
And every night has its day, so magical
And if there's love in this life, there's no obstacle
That can't be defeated

[Pre-Chorus: Simon Aldred]
For every tyrant a tear for the vulnerable
In every lost soul the bones of a miracle
For every dreamer a dream we're unstoppable
With something to believe in

[Chorus: Simon Aldred]
Monday left me broken
Tuesday I was through with hoping
Wednesday my empty arms were open
Thursday waiting for love, waiting for love
Thank the stars it's Friday
I'm burning like a fire gone wild on Saturday
Guess I won't be coming to church on Sunday
I'll be waiting for love, waiting for love
To come around

[Verse 2: Simon Aldred]
We are one of a kind irreplaceable
How did I get so blind and so cynical
If theres love in this life we're unstoppable
No we can't be defeated

[Chorus: Simon Aldred]
Monday left me broken
Tuesday I was through with hoping
Wednesday my empty arms were open
Thursday waiting for love, waiting for love
Thank the stars it's Friday
I'm burning like a fire gone wild on Saturday
Guess I won't be coming to church on Sunday
I'll be waiting for love, waiting for love
To come around",Justin Caruso,No Eyes On Me
"Now nothing ever
last forever, no
One minute you're here
And the next you're gone
So I respect you,
wanna take it slow
I need a mental receipt
To know this moment at all

Do you mind if I steal
a kiss (chop chop)
A little souvenir,
can I steal it from you?
To memorize
the way you shock me
The way you move it here (hey)
Just wanna feel it from you (hey)

Don't be afraid to catch feels
Ride drop top and
chase thrills (hey)
I know you ain't afraid
about this (hey)
Baby I know you ain't scared
to catch feels
Feels with me

I'm your window shopper
Suck off of your novel
Unwind off your goggles
Virtual reality
It ain't what it cost you
It might be a dollar
As long as it shocks you
Memory, electricity

Do you mind if I steal a kiss
(chop chop)
A little souvenir,
can I steal it from you?
(oh yeah)
To memorize the way
you shock me (yeah)
Do way you move it here (hey)
Just wanna
feel it from you (hey)

Don't be afraid to
catch feels (ha)
Ride drop top and
chase thrills (oh)
I know you ain't afraid
about this (hey)
Baby I know you ain't scared
to catch feels (straight up)
Feels with me (woah)

Godamn I know you love to
make an entrance
Do you like getting paid or
getting paid attention
You mixed the wrong guys
with the right intentions
In the same bed, but it still
feel long distance
She's looking for a little more
consistency
But when you stop looking you
gon' find what's meant to be
And honestly I'm way too done
with the hoes
I cut off all my exes
for your x and o's
I feel my old flings,
was just preparing me
When I say I want you,
say it back Parakeet
Fly in first-class through the air,
Airbnb
I'm the best you had
You just be comparing me
to me
Imma at this at you
If I put you on my phone,
and upload it
It'll get maximum views
I came in through in the clutch
With the lipsticks and phones
Wear your favorite cologne
Just to get you alone

Don't be afraid to catch feels
Don't be afraid to
catch these feels
Ride drop top and
chase thrills, (yeah)
I know you ain't afraid
about this (I know)
Baby I know you ain't scared
to catch feels
Woah, woah, woah
Feels with me

Don't be afraid to
catch feels (no, no)
Don't be afraid baby
Ride drop top and chase
thrills (woah, okay)
I know you ain't afraid
about this
I know, I know, I know, I know
Baby I know you ain't scared
to catch feels
Feels with me","Zedd, Grey, Maren Morris",The Middle
